排名,英文片名,中文片名,累计票房,首映日期,IMDb评分,豆瓣评分
1,Lilo & Stitch,星际宝贝史迪奇,"$344,684,243",5月23日,7.0,7.2
2,Thunderbolts*,雷霆特攻队,"$187,090,026",5月2日,7.5,6.8
3,Sinners,罪人,"$273,381,913",4月18日,7.8,7.8
4,Mission: Impossible - The Final Reckoning,碟中谍,"$153,229,836",5月23日,7.5,8.2
5,Final Destination: Bloodlines,死神来了,"$125,355,090",5月16日,7.0,7.1
6,A Minecraft Movie,我的世界,"$423,653,012",4月4日,5.7,5.5
7,The Accountant 2,会计刺客,"$65,502,960",4月25日,6.8,7.3
8,Karate Kid: Legends,功夫梦,"$37,598,182",5月30日,6.6,6.8
9,Friendship,N/A,"$14,737,642",5月9日,7.4,N/A
10,The Last Rodeo,N/A,"$13,353,632",5月23日,7.0,N/A
